title,dynasty,poet,content
行宫,唐代,元稹 ,寥落古行宫，宫花寂寞红。白头宫女在，闲坐说玄宗。
登鹳雀楼,唐代,王之涣 ,白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
新嫁娘词,唐代,王建 ,三日入厨下，洗手作羹汤。未谙姑食性，先遣小姑尝。
相思,唐代,王维 ,红豆生南国，春来发几枝。愿君多采撷，此物最相思。
杂诗三首·其二,唐代,王维 ,君自故乡来，应知故乡事。来日绮窗前，寒梅著花未？
鹿柴,唐代,王维 ,空山不见人，但闻人语响。返景入深林，复照青苔上。
竹里馆,唐代,王维 ,独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
送别 / 山中送别,唐代,王维 ,山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归？
问刘十九,唐代,白居易 ,绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
哥舒歌,唐代,西鄙人 ,北斗七星高，哥舒夜带刀。至今窥牧马，不敢过临洮。
静夜思,唐代,李白 ,床前明月光，疑是地上霜。举头望明月，低头思故乡。
怨情,唐代,李白 ,美人卷珠帘，深坐颦蛾眉。但见泪痕湿，不知心恨谁。
乐游原 / 登乐游原,唐代,李商隐 ,向晚意不适，驱车登古原。夕阳无限好，只是近黄昏。
听筝,唐代,李端 ,鸣筝金粟柱，素手玉房前。欲得周郎顾，时时误拂弦。
渡汉江,唐代,宋之问 ,岭外音书断，经冬复历春。近乡情更怯，不敢问来人。
八阵图,唐代,杜甫 ,功盖三分国，名成八阵图。江流石不转，遗恨失吞吴。
宿建德江,唐代,孟浩然 ,移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。
春晓,唐代,孟浩然 ,春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。
春怨 / 伊州歌,唐代,金昌绪 ,打起黄莺儿，莫教枝上啼。啼时惊妾梦，不得到辽西。
江雪,唐代,柳宗元 ,千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。
秋夜寄邱员外 / 秋夜寄丘二十二员外,唐代,韦应物 ,怀君属秋夜，散步咏凉天。空山松子落，幽人应未眠。
终南望余雪,唐代,祖咏 ,终南阴岭秀，积雪浮云端。林表明霁色，城中增暮寒。
宫词·故国三千里,唐代,张祜 ,故国三千里，深宫二十年。一声何满子，双泪落君前。
寻隐者不遇 / 孙革访羊尊师诗,唐代,贾岛 ,松下问童子，言师采药去。只在此山中，云深不知处。
崔九欲往南山马上口号与别 / 留别王维 / 送崔九,唐代,裴迪 ,归山深浅去，须尽丘壑美。莫学武陵人，暂游桃源里。
送灵澈上人,唐代,刘长卿 ,苍苍竹林寺，杳杳钟声晚。荷笠带斜阳，青山独归远。
听弹琴,唐代,刘长卿 ,泠泠七弦上，静听松风寒。古调虽自爱，今人多不弹。
送方外上人 / 送上人,唐代,刘长卿 ,孤云将野鹤，岂向人间住。莫买沃洲山，时人已知处。
玉台体,唐代,权德舆 ,昨夜裙带解，今朝蟢子飞。铅华不可弃，莫是藁砧归。
芙蓉楼送辛渐,唐代,王昌龄 ,寒雨连江夜入吴，平明送客楚山孤。洛阳亲友如相问，一片冰心在玉壶。
闺怨,唐代,王昌龄 ,闺中少妇不知愁，春日凝妆上翠楼。忽见陌头杨柳色，悔教夫婿觅封侯。
春宫曲,唐代,王昌龄 ,昨夜风开露井桃，未央前殿月轮高。平阳歌舞新承宠，帘外春寒赐锦袍。
九月九日忆山东兄弟,唐代,王维 ,独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。
凉州词二首·其一,唐代,王翰 ,葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？
后宫词,唐代,白居易 ,泪湿罗巾梦不成，夜深前殿按歌声。红颜未老恩先断，斜倚薰笼坐到明。
宫词 / 宫中词,唐代,朱庆馀 ,寂寂花时闭院门，美人相并立琼轩。含情欲说宫中事，鹦鹉前头不敢言。
近试上张籍水部 / 近试上张水部 / 闺意献张水部,唐代,朱庆馀 ,洞房昨夜停红烛，待晓堂前拜舅姑。妆罢低声问夫婿，画眉深浅入时无。
逢入京使,唐代,岑参 ,故园东望路漫漫，双袖龙钟泪不干。马上相逢无纸笔，凭君传语报平安。
黄鹤楼送孟浩然之广陵,唐代,李白 ,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。
早发白帝城 / 白帝下江陵,唐代,李白 ,朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。
夜上受降城闻笛,唐代,李益 ,回乐峰前沙似雪，受降城外月如霜不知何处吹芦管，一夜征人尽望乡。
贾生,唐代,李商隐 ,宣室求贤访逐臣，贾生才调更无伦。可怜夜半虚前席，不问苍生问鬼神。
隋宫,唐代,李商隐 ,乘兴南游不戒严，九重谁省谏书函。春风举国裁宫锦，半作障泥半作帆。
瑶池,唐代,李商隐 ,瑶池阿母绮窗开，黄竹歌声动地哀。八骏日行三万里，穆王何事不重来。
嫦娥,唐代,李商隐 ,云母屏风烛影深，长河渐落晓星沉。嫦娥应悔偷灵药，碧海青天夜夜心。
夜雨寄北,唐代,李商隐 ,君问归期未有期，巴山夜雨涨秋池。何当共剪西窗烛，却话巴山夜雨时。
寄令狐郎中,唐代,李商隐 ,嵩云秦树久离居，双鲤迢迢一纸书。休问梁园旧宾客，茂陵秋雨病相如。
为有,唐代,李商隐 ,为有云屏无限娇，凤城寒尽怕春宵。无端嫁得金龟婿，辜负香衾事早朝。
江南逢李龟年,唐代,杜甫 ,岐王宅里寻常见，崔九堂前几度闻。正是江南好风景，落花时节又逢君。
赠别,唐代,杜牧 ,多情却似总无情，唯觉樽前笑不成。蜡烛有心还惜别，替人垂泪到天明。
赠别二首,唐代,杜牧 ,娉娉袅袅十三余，豆蔻梢头二月初。春风十里扬州路，卷上珠帘总不如。多情却似总无情，唯觉樽前笑不成。蜡烛有心还惜别，替人垂泪到天明。
金谷园,唐代,杜牧 ,繁华事散逐香尘，流水无情草自春。日暮东风怨啼鸟，落花犹似坠楼人。
寄扬州韩绰判官,唐代,杜牧 ,青山隐隐水迢迢，秋尽江南草未凋。二十四桥明月夜，玉人何处教吹箫？
遣怀,唐代,杜牧 ,落魄江南载酒行，楚腰纤细掌中轻。十年一觉扬州梦，赢得青楼薄幸名。
秋夕,唐代,杜牧 ,银烛秋光冷画屏，轻罗小扇扑流萤。天阶夜色凉如水，卧看牵牛织女星。
将赴吴兴登乐游原一绝,唐代,杜牧 ,清时有味是无能，闲爱孤云静爱僧。欲把一麾江海去，乐游原上望昭陵。
赤壁,唐代,杜牧 ,折戟沉沙铁未销，自将磨洗认前朝。东风不与周郎便，铜雀春深锁二乔。
泊秦淮,唐代,杜牧 ,烟笼寒水月笼沙，夜泊秦淮近酒家。商女不知亡国恨，隔江犹唱《后庭花》。
征人怨 / 征怨,唐代,柳中庸 ,岁岁金河复玉关，朝朝马策与刀环。三春白雪归青冢，万里黄河绕黑山。
金陵图,唐代,韦庄 ,谁谓伤心画不成，画人心逐世人情。君看六幅南朝事，老木寒云满故城。
滁州西涧,唐代,韦应物 ,独怜幽草涧边生，上有黄鹂深树鸣。春潮带雨晚来急，野渡无人舟自横。
桃花溪,唐代,张旭 ,隐隐飞桥隔野烟，石矶西畔问渔船。桃花尽日随流水，洞在清溪何处边。
寄人,唐代,张泌 ,别梦依依到谢家，小廊回合曲阑斜。多情只有春庭月，犹为离人照落花。
题金陵渡,唐代,张祜 ,金陵津渡小山楼，一宿行人自可愁。潮落夜江斜月里，两三星火是瓜州。
赠内人,唐代,张祜 ,禁门宫树月痕过，媚眼惟看宿鹭窠。斜拔玉钗灯影畔，剔开红焰救飞蛾。
集灵台·其一,唐代,张祜 ,日光斜照集灵台，红树花迎晓露开。昨夜上皇新授箓，太真含笑入帘来。
集灵台·其二,唐代,张祜 ,虢国夫人承主恩，平明骑马入宫门。却嫌脂粉污颜色，淡扫蛾眉朝至尊。
枫桥夜泊,唐代,张继 ,月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。
陇西行四首·其二,唐代,陈陶 ,誓扫匈奴不顾身，五千貂锦丧胡尘。可怜无定河边骨，犹是春闺梦里人！
杂诗,唐代,佚名 ,近寒食雨草萋萋，著麦苗风柳映堤。等是有家归未得，杜鹃休向耳边啼。
回乡偶书二首·其一,唐代,贺知章 ,少小离家老大回，乡音无改鬓毛衰。儿童相见不相识，笑问客从何处来。
